kwd_no,키워드명,상품카테고리,리스크 등급,대체키워드,리스크 등급별 세부 심의기준,증빙자료유형,키워드 조회 수(누적카운트),마지막 출력일자,키워드등록일자,키워드등록인,비고,키워드 등록일자
G085,체중감량,건강기능식품,3등급(조건부사용),-,(체지방 감소에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G086,체중감소,건강기능식품,3등급(조건부사용),-,(체지방 감소에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,3,2025-12-18 11:56:48,,,,
G087,체지방감소,건강기능식품,3등급(조건부사용),-,(체지방 감소에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G088,체지방개선,건강기능식품,3등급(조건부사용),-,(체지방 감소에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G089,콜레스테롤,건강기능식품,3등급(조건부사용),-,(혈중 콜레스테롤 개선에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G090,키성장,건강기능식품,3등급(조건부사용),-,(어린이 키성장에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G091,피로,건강기능식품,3등급(조건부사용),-,(피로개선에 도움을 줄수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G092,피로해소,건강기능식품,3등급(조건부사용),-,(피로개선에 도움을 줄수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G093,피로회복,건강기능식품,3등급(조건부사용),-,(피로개선에 도움을 줄수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G094,피부개선,건강기능식품,3등급(조건부사용),-,(피부건강에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,1,2025-12-15 12:01,,,,
G095,피부건강,건강기능식품,3등급(조건부사용),-,(피부건강에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G096,항산화,건강기능식품,3등급(조건부사용),-,(항산화에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G097,항산화작용,건강기능식품,3등급(조건부사용),-,(항산화에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G098,혈당건강,건강기능식품,3등급(조건부사용),-,(건강기능식품인 경우 기능성인정받은 내용상 OO건강 표현의 경우는 사용가능),,0,,,,,
G099,혈당지수,건강기능식품,3등급(조건부사용),-,(식후 혈당상승 억제에 도움을 줄 수 있음 등의 기능성을 인정받은 건강기능식품인 경우 기능성표현 범위내에서 사용가능),,0,,,,,
G100,활력,건강기능식품,3등급(조건부사용),-,"(사용가능하나 주의요망)(활력문구 자체가 금지되는 것은 아니나,건강기능식품 오인성 소지가 있어 피로회복,피로개선 등의 의미로 사용되지 않도록 주의할것)",,0,,,,,
G101,GMP,건강기능식품,4등급(사용가능),-,(사용가능)(2020년12월1일이후부터 모든 건강기능식품은 GMP시설 의무적용),,0,,,,,
G102,OO건강,건강기능식품,4등급(사용가능),-,(건강기능식품인 경우 기능성인정받은 내용상 OO건강 표현의 경우는 사용가능),,0,,,,,
G103,OO부스터,건강기능식품,4등급(사용가능),-,"(사용가능)(에너지부스터,생기부스터,부스터샷,부스터업 등 사용가능) (단, 근육부스터는 사용불가)(건기식협회 가이드라인 중 발췌)",,0,,,,,
G104,OO자신있습니다,건강기능식품,4등급(사용가능),-,"(사용가능)(단, 앞뒤 문맥의 내용에 따라서 절대적표현에 해당하는 경우는 사용불가 할 수 있으므로 주의할 것)",,0,,,,,
G105,건강기능식품,건강기능식품,4등급(사용가능),-,(건강기능식품 한정사용 가능),,0,,,,,
G106,공부로 인해 지친우리 아이,건강기능식품,4등급(사용가능),-,"(사용가능)(단,직접적으로 공부나 학업성취도 향상에 영향을 줄 수 있는듯한 뉘앙스의 광고는 사용불가)(건기식협회 가이드라인 중 발췌)",,0,,,,,
G107,공부체력이 필요할 때,건강기능식품,4등급(사용가능),-,"(사용가능)(단,직접적으로 공부나 학업성취도 향상에 영향을 줄 수 있는듯한 뉘앙스의 광고는 사용불가)(건기식협회 가이드라인 중 발췌)",,0,,,,,
G108,공부하느라 힘든 우리 아이들을 위해,건강기능식품,4등급(사용가능),-,"(사용가능)(단,직접적으로 공부나 학업성취도 향상에 영향을 줄 수 있는듯한 뉘앙스의 광고는 사용불가)(건기식협회 가이드라인 중 발췌)",,0,,,,,
G109,기능성,건강기능식품,4등급(사용가능),-,(건강기능식품 한정사용 가능),,0,,,,,
G110,학습체력이 필요할 때,건강기능식품,4등급(사용가능),-,"(사용가능)(단,직접적으로 공부나 학업성취도 향상에 영향을 줄 수 있는듯한 뉘앙스의 광고는 사용불가)(건기식협회 가이드라인 중 발췌)",,0,,,,,
I001,"가려움증(예방,완화)",공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I002,가슴확대,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I003,검버섯(제거),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I004,공황장애(치료),공산품,1등급(사용금지),-,(사용금지),,3,2025-12-19 14:18:13,,,,
I005,난청 치료,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I006,납작머리증후군(사두증),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I007,내성발톱 교정,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I008,단두증 교정,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I009,당뇨,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I010,당뇨 억제,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I011,레이저(샷),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I012,류마티스 건염(예방),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I013,면역력(강화),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I014,명현호전반응,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I015,모공각화증,공산품,1등급(사용금지),-,(사용금지),,8,2025-12-18 11:56:48,,,,
I016,무지외반증 교정,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I017,변비(치료),공산품,1등급(사용금지),-,(사용금지),,3,2025-12-19 14:18:13,,,,
I018,"부정맥(진단,치료,개선)",공산품,1등급(사용금지),-,(사용금지),,5,2025-12-19 14:18:13,,,,
I019,비립종(제거),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I020,생리통 완화,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I021,성장통 완화,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I022,세포피부운동 하세요,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I023,소아 성장,공산품,1등급(사용금지),-,(사용금지)(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓?과대광고에는 해당될 수 있다고 판단한 키워드),,0,,,,,
I024,수기치료,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I025,시력교정(향상),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I026,신진대사(증가),공산품,1등급(사용금지),-,(사용금지),,3,2025-12-18 11:56:48,,,,
I027,심부체온상승,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I028,아침에 발기가 안될 때,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I029,"아토피 (개선,완화,치료)",공산품,1등급(사용금지),-,(사용금지),,5,2025-12-19 14:18:13,,,,
I030,암 예방,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I031,"염증(개선,완화,치료)",공산품,1등급(사용금지),-,(사용금지),,5,2025-12-19 14:18:13,,,,
I032,"우울증(치료,완화,개선)",공산품,1등급(사용금지),-,(사용금지),,5,2025-12-19 14:18:13,,,,
I033,유방확대,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I034,음경 단련(확대),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I035,음성 증폭,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I036,음이온을 흡수,공산품,1등급(사용금지),-,(사용금지),,8,2025-12-18 11:56:48,,,,
I037,이명 치료,공산품,1등급(사용금지),-,(사용금지)(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓?과대광고에는 해당될 수 있다고 판단한 키워드),,0,,,,,
I038,재생촉진,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I039,조루(치료),공산품,1등급(사용금지),-,(사용금지)(시정조치사항 반영),,3,2025-12-19 14:18:13,,,,
I040,"족저근막염(개선,완화,치료)",공산품,1등급(사용금지),-,(사용금지),,5,2025-12-19 14:18:13,,,,
I041,쥐젖(제거),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I042,지방흡입,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I043,진통제 맞은것 같은,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I044,진피 친밀도 강화,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I045,진피세포 활성화,공산품,1등급(사용금지),-,(사용금지)(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓?과대광고에는 해당될 수 있다고 판단한 키워드),,0,,,,,
I046,청력손실예방청력 보호,공산품,1등급(사용금지),-,(사용금지)(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓?과대광고에는 해당될 수 있다고 판단한 키워드),,0,,,,,
I047,치유력 복원,공산품,1등급(사용금지),-,(사용금지)(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓?과대광고에는 해당될 수 있다고 판단한 키워드),,0,,,,,
I048,카이로프랙틱,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I049,"탙모(개선,치료,완화)",공산품,1등급(사용금지),-,(사용금지)(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓?과대광고에는 해당될 수 있다고 판단한 키워드),,5,2025-12-19 14:18:13,,,,
I050,태열 내려줌,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I051,"파킨슨병(완화,치료,개선)",공산품,1등급(사용금지),-,(사용금지)(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓?과대광고에는 해당될 수 있다고 판단한 키워드),,5,2025-12-19 14:18:13,,,,
I052,팔다리 결림저림 완화,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I053,피부염,공산품,1등급(사용금지),-,(사용금지)(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓?과대광고에는 해당될 수 있다고 판단한 키워드),,0,,,,,
I054,피부염 치료,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I055,피부질환,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I056,피부질환 개선,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I057,피부혈류 개선,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I058,한관종(제거),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I059,헐당(개선),공산품,1등급(사용금지),-,(사용금지),,2,2025-12-18 11:56:56,,,,
I060,혈류 개선,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I061,혈액순환,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I062,혈자리,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I063,"홍반(감소,완화)",공산품,1등급(사용금지),-,(사용금지),,7,2025-12-18 11:56:56,,,,
I064,"홍조(완화,개선)",공산품,1등급(사용금지),-,(사용금지),,2,2025-12-18 11:56:56,,,,
I065,환자,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I066,활성산소 제거,공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I067,"흉터(제거,완화)",공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I068,(체)지방 감소,공산품,2등급(대체키워드사용),붓기감소/몸매라인개선,(관련 인체적용시험 보유 時 대체키워드 사용가능),인체적용시험결과서,0,,,,,
I069,OO살(뱃살/등살/옆구리살..etc),공산품,2등급(대체키워드사용),바디라인/허리라인/몸매..etc,OO살 문구는 체지방감소 관련표현으로 오인될 소지가 높아서 가급적 대체키워드 표현으로 사용을 권장드립니다,,0,,,,,
I070,거북목(일자목),공산품,2등급(대체키워드사용),"굳은 목,뻣뻣한 목,목 불편함,경추지지,c커브,구부정한자세,nerd neck)",-,,0,,,,,
I071,견인치료,공산품,2등급(대체키워드사용),신체부위+견인/견인효과,(OO견인 표현으로 대체사용가능)(ex_허리견인/목견인…etc),,0,,,,,
I072,"고혈압(예방,개선)",공산품,2등급(대체키워드사용),림프마사지/*림프순환,"림프순환 워딩의 경우 적발이슈 발생 전까지 아래의 각주표기 후 예외적으로 사용을 허용하기로 함

<림프순환 키워드 예외사용 시 각주 소구 안내>
   1) 해당제품은 의료기기가 아닙니다
   2) “림프순환”은 질병등의 치료,완화 목적의 의료행위를 의미하지 않습니다.",,2,2025-12-18 11:56:56,,,,
I073,골반 교정/골반 틀어짐/틀어진 골반,공산품,2등급(대체키워드사용),골반 불균형/케어/관리,"(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓/과대광고에는 해당될 수 있으므로, 심의담당자에게 사용 가능 여부 확인 필요)",,0,,,,,
I074,굽은 목,공산품,2등급(대체키워드사용),"굳은 목,뻣뻣한 목,목 불편함,경추지지,c커브,구부정한자세,nerd neck)",-,,0,,,,,
I075,"기미(완화,제거)",공산품,2등급(대체키워드사용),잡티/피부톤개선/피부미백/색소침착개선,(미백기능성화장품 또는 관련 인체적용시험 보유 時 대체키워드 사용가능),인체적용시험결과서,0,,,,,
I076,다크서클(다크써클),공산품,2등급(대체키워드사용),칙칙한 눈밑/눈밑 칙칙함,(대체키워드 사용필수)(시정조치 소명과정에서 사용가능으로 안내 받은 대체키워드),,0,,,,,
I077,도수치료,공산품,2등급(대체키워드사용),도수/스트레칭/마사지/근육이완/몸이개운해짐,-,,0,,,,,
I078,독소(제거),공산품,2등급(대체키워드사용),노폐물 제거/노폐물 배출,-,,0,,,,,
I079,두상 교정,공산품,2등급(대체키워드사용),두상형성,적발이슈 발생전까지 한시적으로 대체키워드 허용함,,0,,,,,
I080,뒷골땡김,공산품,2등급(대체키워드사용),뒷골이 뻐근함,-,,0,,,,,
I081,림프개선,공산품,2등급(대체키워드사용),림프마사지/*림프순환,"림프순환 워딩의 경우 적발이슈 발생 전까지 아래의 각주표기 후 예외적으로 사용을 허용하기로 함

<림프순환 키워드 예외사용 시 각주 소구 안내>
   1) 해당제품은 의료기기가 아닙니다
   2) “림프순환”은 질병등의 치료,완화 목적의 의료행위를 의미하지 않습니다.",,0,,,,,
I082,목 교정,공산품,2등급(대체키워드사용),"목관리,스트레칭",(인체적용시험 등 실증자료 구비시 사용가능),인체적용시험결과서,0,,,,,
I083,불면증,공산품,2등급(대체키워드사용),(우측세부기준참고),"(*""수면도움/개선/유도"" 키워드는 인체적용시험 보유 時 대체키워드 사용가능하며 '잠이 안올 때,' '새벽에 깰 때' 문구는 인체적용시험 없이도 대체키워드 사용가능)",인체적용시험결과서,0,,,,,
I084,셀룰라이트(부종) 완화,공산품,2등급(대체키워드사용),붓기감소/몸매라인개선,(관련 인체적용시험 보유 時 대체키워드 사용가능),인체적용시험결과서,0,,,,,
I085,"수면무호흡증(개선,완화,치료)",공산품,2등급(대체키워드사용),(우측세부기준참고),"(*""수면도움/개선/유도"" 키워드는 인체적용시험 보유 時 대체키워드 사용가능하며 '잠이 안올 때,' '새벽에 깰 때' 문구는 인체적용시험 없이도 대체키워드 사용가능)",인체적용시험결과서,5,2025-12-19 14:18:13,,,,
I086,아픈게 싹 나았어요,공산품,2등급(대체키워드사용),시원해졌어요/풀렸어요/개운해졌어요,-,,0,,,,,
I087,역류성식도염,공산품,2등급(대체키워드사용),위산역류/가슴이타는듯한,-,,0,,,,,
I088,"오십견(완화,치료,예방)",공산품,2등급(대체키워드사용),뻐근함/뭉침,-,,3,2025-12-19 14:18:13,,,,
I089,유일,공산품,2등급(대체키워드사용),유니크한/특별한,-,,0,,,,,
I090,이갈이(방지),공산품,2등급(대체키워드사용),(우측세부기준참고),"(*""수면도움/개선/유도"" 키워드는 인체적용시험 보유 時 대체키워드 사용가능하며 '잠이 안올 때,' '새벽에 깰 때' 문구는 인체적용시험 없이도 대체키워드 사용가능)",인체적용시험결과서,0,,,,,
I091,재배치,공산품,2등급(대체키워드사용),관리/마사지,-,,0,,,,,
I092,"저혈압(예방,개선)",공산품,2등급(대체키워드사용),림프마사지/*림프순환,"림프순환 워딩의 경우 적발이슈 발생 전까지 아래의 각주표기 후 예외적으로 사용을 허용하기로 함

<림프순환 키워드 예외사용 시 각주 소구 안내>
   1) 해당제품은 의료기기가 아닙니다
   2) “림프순환”은 질병등의 치료,완화 목적의 의료행위를 의미하지 않습니다.",,2,2025-12-18 11:56:56,,,,
I093,전기침마사지,공산품,2등급(대체키워드사용),전기마사지,-,,0,,,,,
I094,지방 감소,공산품,2등급(대체키워드사용),붓기감소/몸매라인개선,(관련 인체적용시험 보유 時 대체키워드 사용가능),인체적용시험결과서,0,,,,,
I095,"질병, 의학적증상 관련문구",공산품,2등급(대체키워드사용),OO불편함/OO뻐근함,‘질병명 언급’은 원칙적으로 사용불가한 사항이나 직접적으로 제품효능과 연계하지 않으면 일시적 허용키로함 (EX허리협착증 있는 아빠한테 선물했는데 너무 좋아하셨다),,3,2025-12-18 11:56:48,,,,
I096,척추 교정,공산품,2등급(대체키워드사용),"척추/골반/목/경추 관리,스트레칭",-,,0,,,,,
I097,척추가 눌러앉으면서,공산품,2등급(대체키워드사용),척추가 압박받으면서,-,,8,2025-12-18 11:56:48,,,,
I098,척추강화,공산품,2등급(대체키워드사용),척추케어/관리/마사지,-,,0,,,,,
I099,"코골이(완화,치료,개선)",공산품,2등급(대체키워드사용),(우측세부기준참고),"(*""수면도움/개선/유도"" 키워드는 인체적용시험 보유 時 대체키워드 사용가능하며 '잠이 안올 때,' '새벽에 깰 때' 문구는 인체적용시험 없이도 대체키워드 사용가능)",인체적용시험결과서,5,2025-12-19 14:18:13,,,,
I100,턱살이 점점 사라지네요,공산품,2등급(대체키워드사용),얼굴에 라인이 생겼네요,(대체키워드 사용필수)(시정조치 소명과정에서 사용가능으로 안내 받은 대체키워드),,0,,,,,
I101,통증(완화/케어),공산품,2등급(대체키워드사용),뭉친 근육 풀림/결림 해소/피로회복/뻐근함/관절 지지/관절 케어/추나/견인,적발이슈 발생으로 대체키워드 필수 사용으로 기준변경,,0,,,,,
I102,틀어졌던,공산품,2등급(대체키워드사용),뻣뻣했던/불편했던/뻐근했던,-,,0,,,,,
I103,피부과,공산품,2등급(대체키워드사용),피부관리샵/에스테틱/마사지샵,-,,0,,,,,
I104,피부세포순환 촉진,공산품,2등급(대체키워드사용),탄력개선,(대체키워드 사용필수)(시정조치 소명과정에서 사용가능으로 안내 받은 대체키워드),,0,,,,,
I105,허리둘레 감소,공산품,2등급(대체키워드사용),붓기 감소/몸매 라인 개선,(관련 인체적용시험 보유 時 대체키워드 사용가능),인체적용시험결과서,0,,,,,
I106,허리디스크,공산품,2등급(대체키워드사용),허리결림/허리불편함/허리뻐근함,"(OO디스크 표현은 모두  OO불편함,OO뻐근함 등으로 대체사용바랍니다)",,0,,,,,
I107,가슴 탄력 효과,공산품,3등급(조건부사용),-,"(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓/과대광고에는 해당될 수 있으므로, 심의담당자에게 사용 가능 여부 확인 필요)",,0,,,,,
I108,각질 개선,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I109,"건조, 벌레 물림 등에 의한 일시적인 가려운 피부",공산품,3등급(조건부사용),-,(대체키워드 필수 사용: 골반 불균형/케어/관리) (250811_구로구보건소 적발이슈 발생으로 기준변경),,8,2025-12-18 11:56:48,,,,
I110,겉탄력 개선,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I111,경락(마사지),공산품,3등급(조건부사용),-,"(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓/과대광고에는 해당될 수 있으므로, 심의담당자에게 사용 가능 여부 확인 필요)",,0,,,,,
I112,괄사,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I113,근육 운동기,공산품,3등급(조건부사용),-,"(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓/과대광고에는 해당될 수 있으므로, 심의담당자에게 사용 가능 여부 확인 필요)",,0,,,,,
I114,근육통(완화),공산품,3등급(조건부사용),-,"(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓/과대광고에는 해당될 수 있으므로, 심의담당자에게 사용 가능 여부 확인 필요)",,0,,,,,
I115,기억력 향상,공산품,3등급(조건부사용),-,(일시적허용 中 : 인체적용시험 등 실증자료 구비시 사용을 권장하나 적발이슈 발생전까지 사용가능),인체적용시험결과서,0,,,,,
I116,기억력과 집중력을 향상,공산품,3등급(조건부사용),-,(인체적용시험 등 실증자료 구비시 사용가능),인체적용시험결과서,0,,,,,
I117,노폐물 제거(여드름 등 질병명 제외),공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,12,2025-12-18 11:56:48,,,,
I118,노화관리방지,공산품,3등급(조건부사용),-,(인체적용시험 등 실증자료 구비시 사용가능),인체적용시험결과서,0,,,,,
I119,눈밑지방/눈밑살,공산품,3등급(조건부사용),(우측 세부심의기준 참고),"(일시적허용 中 : 적발이슈 발생전까지 눈밑지방/눈밑살 키워드 예외허용 함)
(인체적용시험 보유 時 사용가능한 대체키워드: 처진 눈밑, 볼록 처진 눈밑, 눈밑 아이백, 눈밑고랑, 눈밑을 팽팽하게/탄력있게, 눈밑볼륨, 눈밑언덕, 눈밑덩어리)",인체적용시험결과서,0,,,,,
I120,눈붓기 감소,공산품,3등급(조건부사용),-,"(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓/과대광고에는 해당될 수 있으므로, 심의담당자에게 사용 가능 여부 확인 필요)",,0,,,,,
I121,눈피로 감소,공산품,3등급(조건부사용),-,"(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓/과대광고에는 해당될 수 있으므로, 심의담당자에게 사용 가능 여부 확인 필요)",,0,,,,,
I122,다이어트 할 때,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I123,단전에 뜸질,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I124,도수,공산품,3등급(조건부사용),(우측 세부심의기준 참고),"(일시적허용 中 : 치료,회복등의 의미를 내포하고 있으나 적발사례 발생전까지 사용하기로 함)",,0,,,,,
I125,두상 형성,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I126,두통(완화),공산품,1등급(사용금지),-,(사용금지),,0,,,,,
I127,라인관리(케어),공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I128,리프팅,공산품,3등급(조건부사용),콜라겐 생성/탱탱/탄력/안티에이징/노화방지,(적발이슈 발생전 까지 대체키워드 일시적 허용),,0,,,,,
I129,림프순환,공산품,3등급(조건부사용),-,"림프순환 워딩의 경우 적발이슈 발생 전까지 아래의 각주표기 후 예외적으로 사용을 허용하기로 함

<림프순환 키워드 예외사용 시 각주 소구 안내>
   1) 해당제품은 의료기기가 아닙니다
   2) “림프순환”은 질병등의 치료,완화 목적의 의료행위를 의미하지 않습니다.",,0,,,,,
I131,면역유지/관리,공산품,3등급(조건부사용),-,(적발이슈 발생전 까지 대체키워드 일시적 허용),,7,2025-12-18 11:56:56,,,,
I132,"모낭염(치료,완화)",공산품,3등급(조건부사용),피지개선/*트러블 완화,(인체적용시험 등 실증자료 구비시 대체키워드 키워드 사용가능) (*트러블 문구는 각주표기 후 대체키워드 사용가능)(ex_트러블: 모공 및 피지에 대한 피부고민),인체적용시험결과서,3,2025-12-19 14:18:13,,,,
I133,몸매라인/바디라인(개선),공산품,3등급(조건부사용),-,"(의료기기 오인광고에는 해당하지 않으나 공산품의 거짓/과대광고에는 해당될 수 있으므로, 심의담당자에게 사용 가능 여부 확인 필요)",,2,2025-12-18 11:56:56,,,,
I134,무기력하고 의욕이 안생길 때,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,8,2025-12-18 11:56:48,,,,
I135,물리치료,공산품,3등급(조건부사용),*물치/마사지/관리,(일시적허용 中 : *물리치료사 추천/보증 표현소구 시에 한하여 별도 증빙 후 허용),,0,,,,,
I136,물리치료사,공산품,3등급(조건부사용),"마사지사/관리사(단, 물리치료사 추천 표현을 위해 언급은 허용하며, 추천사실에 대해서는 별도 증빙 필요)",(일시적허용 中 : *물리치료사 추천/보증 표현소구 시에 한하여 별도 증빙 후 허용),실증자료제출,0,,,,,
I137,배가 불편하신 분,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I138,배가 편안,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I139,뱃속이 답답하고,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I140,변이 시원하게 나오지 않을 때,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,8,2025-12-18 11:56:48,,,,
I141,병원 안가도/병원 가지 마세요,공산품,3등급(조건부사용),"여러가지 관리를 받았는데,이것저것 다해봤는데",(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I142,병원/약국 등(의료기기관명)입점,공산품,3등급(조건부사용),-,"(일시적허용 中 : 적발이슈 발생전까지 사용가능하며 입점사실은 별도증빙 필요)(사용가능한 대체키워드: 마사지샵,관리샵)",실증자료제출,0,,,,,
I143,분비물 배출,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,8,2025-12-18 11:56:48,,,,
I144,붓기 완화/감소,공산품,3등급(조건부사용),-,(관련 인체적용시험 보유 時 대체키워드 사용가능),인체적용시험결과서,2,2025-12-18 11:56:56,,,,
I145,사각턱 완화,공산품,3등급(조건부사용),얼굴라인관리,(일시적허용 中 : 인체적용시험 등 실증자료 구비시 사용을 원칙으로 하나 적발이슈 발생전까지 허용키로 함),인체적용시험결과서,0,,,,,
I146,색소침착 개선,공산품,3등급(조건부사용),-,(관련 인체적용시험 보유 時 대체키워드 사용가능),인체적용시험결과서,0,,,,,
I147,소화가 안될 때,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I148,소화가 잘 됨,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
I149,"속부터 차오르는 탄력, 코어 탄력 세우는",공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,8,2025-12-18 11:56:48,,,,
I150,속탄력 개선,공산품,3등급(조건부사용),-,(관련 인체적용시험 보유 時 대체키워드 사용가능),인체적용시험결과서,0,,,,,
I151,수면시간의 변화,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,8,2025-12-18 11:56:48,,,,
I152,수면전문가가 참여한 숙면 프로젝트,공산품,3등급(조건부사용),-,(일시적허용 中 : 적발이슈 발생전까지 사용가능),,0,,,,,
